crop,county,total_farms_2022,total_acres_2022,total_bearing_age_farms_2022,total_bearing_age_acres_2022,total_nonbearing_age_farms_2022,total_nonbearing_age_acres_2022,total_farms_2017,total_acres_2017,total_bearing_age_farms_2017,total_bearing_age_acres_2017,total_nonbearing_age_farms_2017,total_nonbearing_age_acres_2017
"Noncitrus, All",Accomack,1,NA,1,NA,1,NA,8,23,8,20,5,3
"Noncitrus, All",Albemarle,93,3062,86,2462,47,600,65,2125,64,1704,28,422
"Noncitrus, All",Alleghany,3,4,3,2,3,2,3,2,3,2,0,0
"Noncitrus, All",Amelia,11,NA,7,NA,7,5,9,NA,1,NA,9,6
"Noncitrus, All",Amherst,20,NA,19,474,7,NA,8,NA,8,NA,4,44
"Noncitrus, All",Appomattox,10,42,7,16,9,26,7,22,5,NA,4,NA
"Noncitrus, All",Augusta,49,NA,39,171,29,NA,27,124,24,105,11,19
"Noncitrus, All",Bath,1,NA,1,NA,0,0,2,NA,2,NA,1,NA
"Noncitrus, All",Bedford,59,233,35,158,35,75,50,217,38,119,33,98
"Noncitrus, All",Bland,4,NA,4,NA,0,0,2,NA,0,0,2,NA
"Noncitrus, All",Botetourt,7,NA,7,248,3,NA,12,293,12,NA,4,NA
"Noncitrus, All",Brunswick,6,NA,6,5,5,NA,1,NA,1,NA,0,0
"Noncitrus, All",Buchanan,3,35,3,NA,2,NA,5,12,5,NA,4,NA
"Noncitrus, All",Buckingham,19,NA,7,NA,14,33,10,NA,7,NA,7,42
"Noncitrus, All",Campbell,6,14,6,14,3,1,12,NA,11,49,8,NA
"Noncitrus, All",Caroline,8,NA,8,22,1,NA,13,NA,6,NA,12,15
"Noncitrus, All",Carroll,43,631,21,556,29,75,38,NA,30,427,24,NA
"Noncitrus, All",Charles City,8,114,7,NA,2,NA,5,48,5,NA,1,NA
"Noncitrus, All",Charlotte,21,50,20,NA,2,NA,17,90,12,85,5,5
"Noncitrus, All",Chesterfield,10,15,8,NA,2,NA,22,8,18,7,6,1
"Noncitrus, All",Clarke,7,106,7,NA,2,NA,14,NA,14,341,4,NA
"Noncitrus, All",Craig,11,NA,10,76,4,NA,14,NA,8,10,9,NA
"Noncitrus, All",Culpeper,23,NA,13,NA,14,71,17,19,11,10,11,9
"Noncitrus, All",Cumberland,8,NA,8,26,4,NA,5,2,5,2,0,0
"Noncitrus, All",Dickenson,1,NA,1,NA,1,NA,1,NA,0,0,1,NA
"Noncitrus, All",Dinwiddie,5,150,5,75,3,75,0,0,0,0,0,0
