county,austrian_winter_peas,barley_for_grain,buckwheat,canola,corn_for_grain,cotton_all,dry_edible_beans_excluding_chickpeas_and_limas,dry_lima_beans,emmer_and_spelt,hemp_for_fiber,hemp_for_floral_cbd_and_other_cannabinoid_usage_,hemp_for_grain,oats_for_grain,other_hemp_usage,other_spring_wheat_for_grain,peanuts_for_nuts,popcorn,proso_millet,rapeseed,rye_for_grain,sorghum_for_grain,soybeans_for_beans,sunflower_seed_all,sunflower_seed_non_oil_varieties,sunflower_seed_oil_varieties,tobacco,triticale_for_grain,upland_cotton,wheat_for_grain_all,winter_wheat_for_grain,almonds,apples,apricots,cherries_sweet,cherries_tart,chestnuts,figs,grapes_include_muscadine_,hazelnuts_filberts_,kiwifruit,nectarines,noncitrus_all,nuts_all,other_noncitrus_fruit,other_nuts,pawpaws,peaches_all,peaches_clingstone,peaches_freestone,pears_all,pears_bartlett,pears_other_than_bartlett,pecans_all,pecans_improved,persimmons,plumcots_pluots_and_other_plum_apricot_hybrids,plums,plums_and_prunes,pomegranates,walnuts_english
accomack,,,,,138.78095238095239,,,,,,,,,,,,,,,,42.55913978494624,25.00538753924971,,,,,,,71.1202240086713,71.1202240086713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albemarle,,,,,137.78925619834712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alleghany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amelia,,71.68831168831169,,,141.98059387421088,,,,,,,,66.92307692307692,,,,,,,,62.24083769633508,39.009273704281505,,,,2650.544262295082,,,60.15439429928741,60.15439429928741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appomattox,,,,,133.93374558303887,,,,,,,,,,,,,,,,,38.951937984496126,,,,,,,44.388791593695274,44.388791593695274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
augusta,,85.83374083129584,,,162.51576093809103,,,,,,,,,,,,,,,,46.747899159663866,47.72751157262605,,,,,,,69.24982770503101,69.24982770503101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bath,,,,,134.30769230769232,,,,,,,,,,,,,,,,,55.743589743589745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bedford,,,,,139.0806779661017,,,,,,,,,,,,,,,,,40.605095541401276,,,,,,,62.01214223764094,62.01214223764094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bland,,,,,149.62059620596207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
botetourt,,,,,176.36220966729442,,,,,,,,,,,,,,,,,50.650278293135436,,,,,,,54.94757281553398,54.94757281553398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brunswick,,,,,,,,,,,,,,,,,,,,,,34.26676324503311,,,,2221.9197145405888,,,54.44252376836646,54.44252376836646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buckingham,,,,,163.36311651179415,,,,,,,,,,,,,,,,,41.02467456770935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campbell,,56.67272727272727,,,106.9632867132867,,,,,,,,,,,,,,,,73.11428571428571,36.28515625,,,,,,,53.06496519721578,53.06496519721578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caroline,,64.2035175879397,,,148.78124045218453,,,,,,,,,,,,,,,,,40.7429797979798,,,,,,,67.25360641139804,67.25360641139804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charles_city,,,,,173.12708768267223,,,,,,,,,,,,,,,,,41.72215452108213,,,,,,,63.299044819985305,63.299044819985305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte,,,,,129.01473063973063,,,,,,,,,,,,,,,,,33.297524922653835,,,,2742.9622093023254,,,48.312812812812815,48.312812812812815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chesapeake,,,,,163.46188816487347,,,,,,,,,,,,,,,,,42.45885237861697,,,,,,,71.5812469317624,71.5812469317624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chesterfield,,,,,142.76075268817203,,,,,,,,,,,,,,,,,30.243626062322946,,,,,,,45.376344086021504,45.376344086021504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clarke,,,,,156.6164274322169,,,,,,,,,,,,,,,,,59.429704397981254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
craig,,,,,103.31891891891892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
culpeper,,84.81481481481481,,,191.09021352313167,,,,,,,,,,,,,,,,,54.708603503338814,,,,,,,71.59593544530783,71.59593544530783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cumberland,,,,,145.35228677379482,,,,,,,,,,,,,,,,,52.22650160476846,,,,,,,57.27272727272727,57.27272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dickenson,,,,,71.57894736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinwiddie,,,,,137.94382964453388,2.4647302904564317,,,,,,,,,,,,,,,,36.292682926829265,,,,2347.2938144329896,,2.4647302904564317,62.45424925332609,62.45424925332609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essex,,,,,174.15565841789805,,,,,,,,,,,,,,,,,42.137437616968185,,,,,,,74.00759291328093,74.00759291328093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairfax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fauquier,,73.56643356643356,,,172.42981804678797,,,,,,,,,,,,,,,,104.48275862068965,52.08769243854725,,,,,,,77.76829268292683,77.76829268292683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
floyd,,,,,176.79611650485438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluvanna,,,,,156.27839116719244,,,,,,,,,,,,,,,,,51.86143308746048,,,,,,,65.57109826589596,65.57109826589596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
franklin,,70.23062015503876,,,114.48648648648648,,,,,,696.6666666666666,,,,,,,,,,,42.92328183271177,,,,2013.1021276595745,,,66.09831121833534,66.09831121833534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frederick,,65.5,,,159.37923792379237,,,,,,,,,,,,,,,,,66.34529411764706,,,,,,,88.44611528822055,88.44611528822055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giles,,,,,98.8,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloucester,,,,,150.84964968755918,,,,,,885.0,,,,,,,,,,,37.38487888426719,,,,,,,63.715753424657535,63.715753424657535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goochland,,,,,207.53960143076137,,,,,,75.0,,,,,,,,,,,49.92629321897615,,,,,,,53.36613153806318,53.36613153806318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grayson,,,,,81.15174825174824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greene,,,,,,,,,,,,,,,,,,,,,,62.58064516129032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greensville,,,,,144.50452165635411,1.8870276587456174,,,,,,,,,,3352.4158653846152,,,,,,25.564334790755776,,,,,,1.8870276587456174,59.82860665844636,59.82860665844636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halifax,,,,,126.0369109947644,,,,,,,,,,,,,,,18.931623931623932,,41.015162077378875,,,,2125.1780155642023,,,54.21845082680592,54.21845082680592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hanover,,81.98668639053254,,,154.833899401585,,,,,,,,,,,,,,,,,37.849560542708424,,,,,,,75.34239574816026,75.34239574816026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henrico,,,,,137.61849034523112,,,,,,,,,,,,,,,,,39.68207547169811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henry,,,,,90.0,,,,,,,,,,,,,,,,,,,,,1291.639175257732,,,52.225563909774436,52.225563909774436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isle_of_wight,,,,,126.9006545324128,2.1131473562750287,,,,,,,,,,4097.077728482697,,,,,,33.469853152893755,,,,,,2.1131473562750287,70.5860819828408,70.5860819828408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james_city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
king_george,,,,,173.81403762662808,,,,,,,,,,,,,,,,,35.851076675387404,,,,,,,57.90470656595003,57.90470656595003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
king_william,,,,,166.1831797235023,,,,,,,,,,,,,,,,96.15384615384616,43.57409469275224,,,,,,,70.3364674278039,70.3364674278039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
king_and_queen,,,,,155.84760664278735,,,,,,90.0,,,,,,,,,,,39.37869009202821,,,,,,,58.07216494845361,58.07216494845361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lancaster,,,,,188.8526645768025,,,,,,,,,,,,,,,,,39.45516717325228,,,,,,,72.38029556650247,72.38029556650247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lee,,,,,92.23958333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loudoun,,,,,170.5530753968254,,,,,,90.0,,,,,,,,,24.119318181818183,,52.44478460529193,,,,,,,83.06548933039,83.06548933039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
louisa,,,,,153.99435641415238,,,,,,,,,,,,,,,,,49.34363365599404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lunenburg,,,,,99.36973344797936,,,,,,,,,,,,,,,,,33.21172480620155,,,,2509.789289871944,,,57.5,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madison,,79.85042735042735,,,171.82508298455767,,,,,,,,,,,,,,,,,51.56875490305951,,,,,,,63.54398148148148,63.54398148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mathews,,,,,,,,,,,90.0,,,,,,,,,,,11.822769953051644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mecklenburg,,,,,130.06273258904838,,,,,,,,,,,,,,,35.81481481481482,,31.5590591443668,,,,2541.282396655829,,,52.2672514619883,52.2672514619883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
middlesex,,,,,171.42743254292722,,,,,,,,,,,,,,,,,40.52187028657617,,,,,,,72.41897233201581,72.41897233201581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
montgomery,,77.37254901960785,,,112.23266219239373,,,,,,,,,,,,,,,,,45.032,,,,,,,59.12068965517241,59.12068965517241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
